network,location_idx,alpha,beta,extinction_prob,mean_activity,amplitude,period,Q,RI,RI_max,frac_rhythmic,class,n_survivors,n_total
net_A,0,0.0042169650342858,0.75,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,0.8,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,0.85,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,0.9,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,0.95,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0042169650342858,1.0,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0056234132519034,0.05,0.7,98.80533333333334,37.06086748487153,328.1111111111111,0.8888888888888888,1.9989999999999999,1.999,0.0,WEAKLY_RHYTHMIC,3.0,10
net_A,0,0.0056234132519034,0.1,0.9,187.03333333333333,44.54882465091282,51.2,1.6666666666666667,1.9532776390132072,1.9532776390132072,0.0,WEAKLY_RHYTHMIC,1.0,10
net_A,0,0.0056234132519034,0.15,0.8,262.8570555555556,45.409601920574524,108.3,1.3333333333333335,1.8477954674935644,1.999,0.0,WEAKLY_RHYTHMIC,2.0,10
net_A,0,0.0056234132519034,0.2,0.7,331.2882592592593,49.71662825275689,202.33333333333334,1.111111111111111,1.1158056370996363,1.886870944647975,0.0,WEAKLY_RHYTHMIC,3.0,10
net_A,0,0.0056234132519034,0.25,0.9,394.6388888888889,48.879382598493166,64.0,1.3333333333333333,1.070772554656345,1.070772554656345,0.0,WEAKLY_RHYTHMIC,1.0,10
net_A,0,0.0056234132519034,0.3,0.9,455.7438888888889,50.83913044965013,42.66666666666666,1.5,1.5545458254236928,1.5545458254236928,0.0,WEAKLY_RHYTHMIC,1.0,10
net_A,0,0.0056234132519034,0.35,0.9,496.70166666666665,49.153810720363616,64.0,2.0,1.0487407229406425,1.0487407229406425,0.0,WEAKLY_RHYTHMIC,1.0,10
net_A,0,0.0056234132519034,0.4,0.7,545.6883703703703,60.86780745397343,88.17777777777776,1.2222222222222223,1.3999506579941254,1.982338211537782,0.0,WEAKLY_RHYTHMIC,3.0,10
net_A,0,0.0056234132519034,0.45,0.9,586.4872222222223,53.84213398709184,36.57142857142857,1.75,1.02778343571445,1.02778343571445,0.0,WEAKLY_RHYTHMIC,1.0,10
net_A,0,0.0056234132519034,0.5,0.9,623.4155555555556,54.26734829856739,128.0,1.0,1.0495746496182108,1.0495746496182108,0.0,WEAKLY_RHYTHMIC,1.0,10
net_A,0,0.0056234132519034,0.55,1.0,,,,,,,,EXTINCT,,10
net_A,0,0.0056234132519034,0.6,0.6,695.6706944444445,55.91117029289247,98.625,1.3833333333333333,0.6790298724622914,1.232381990244892,0.0,ARRHYTHMIC,4.0,10
net_A,0,0.0056234132519034,0.65,0.8,721.3505555555555,57.92763119954475,103.5,1.8333333333333333,1.7072364977125507,1.796478420451543,0.0,WEAKLY_RHYTHMIC,2.0,10
net_A,0,0.0056234132519034,0.7,0.8,742.2636111111111,57.67669435625628,40.0,3.0,1.2008031199861247,1.4217460977977359,0.0,WEAKLY_RHYTHMIC,2.0,10
net_A,0,0.0056234132519034,0.75,0.9,777.2822222222222,59.55851758803229,64.0,1.0,1.092875976745471,1.092875976745471,0.0,WEAKLY_RHYTHMIC,1.0,10
net_A,0,0.0056234132519034,0.8,0.7,797.8351851851852,58.19261412153034,70.75757575757576,2.222222222222222,1.2163521815352194,1.5868834184730058,0.0,WEAKLY_RHYTHMIC,3.0,10
net_A,0,0.0056234132519034,0.85,0.6,815.3944027777778,73.25146575359598,62.45833333333333,1.625,1.0876832542132435,1.3936345772687289,0.0,WEAKLY_RHYTHMIC,4.0,10
net_A,0,0.0056234132519034,0.9,0.7,832.6748518518519,80.14667383194423,65.06666666666666,3.722222222222222,1.3826781716637708,1.999,0.0,WEAKLY_RHYTHMIC,3.0,10
net_A,0,0.0056234132519034,0.95,0.9,869.94,58.969396582747336,64.0,1.3333333333333333,1.999,1.999,0.0,WEAKLY_RHYTHMIC,1.0,10
net_A,0,0.0056234132519034,1.0,0.8,873.9772222222223,63.08257828614113,106.58333333333333,1.0,1.474200736598129,1.999,0.0,WEAKLY_RHYTHMIC,2.0,10
net_A,0,0.0074989420933245,0.05,0.4,307.94425,79.54806158556234,39.5595238095238,1.7555555555555555,1.7963764328922227,1.999,0.0,WEAKLY_RHYTHMIC,6.0,10
net_A,0,0.0074989420933245,0.1,0.2,575.1241875,80.3924856328192,28.169444444444444,1.665625,1.6515667987269127,1.999,0.0,WEAKLY_RHYTHMIC,8.0,10
net_A,0,0.0074989420933245,0.15,0.6,806.845,91.44500312674896,20.090201465201464,2.2222222222222223,1.4013010018800958,1.7211921391003189,0.0,WEAKLY_RHYTHMIC,4.0,10
net_A,0,0.0074989420933245,0.2,0.3,1013.6011428571428,101.21736812558403,19.417687074829928,2.5785714285714287,1.4348800421730983,1.7494705537776007,0.0,WEAKLY_RHYTHMIC,7.0,10
net_A,0,0.0074989420933245,0.25,0.5,1196.2805,111.04342841370169,19.481694775812425,1.6497619047619048,1.4370382104740298,1.513862320806853,0.0,WEAKLY_RHYTHMIC,5.0,10
net_A,0,0.0074989420933245,0.3,0.4,1360.3821666666668,128.14054399071787,17.835811247575954,2.861507936507936,1.7050229144448892,1.9752104520509095,0.0,WEAKLY_RHYTHMIC,6.0,10
net_A,0,0.0074989420933245,0.35,0.3,1507.7585714285713,145.59212932931646,18.014711339081085,2.9416666666666664,1.7502667322999135,1.999,0.0,WEAKLY_RHYTHMIC,7.0,10
net_A,0,0.0074989420933245,0.4,0.7,1642.3205,154.37401422293718,17.210084033613445,3.2984126984126987,1.1613414003426452,1.6047477602028644,0.0,WEAKLY_RHYTHMIC,3.0,10
net_A,0,0.0074989420933245,0.45,0.4,1764.763,161.51911484461218,15.52221373397844,3.738888888888889,1.6681881499715125,1.9691001194098219,0.0,WEAKLY_RHYTHMIC,6.0,10
net_A,0,0.0074989420933245,0.5,0.6,1875.36375,170.81989992620265,13.804830917874396,5.645833333333334,1.5938664311821116,1.7612927295292635,0.0,WEAKLY_RHYTHMIC,4.0,10
net_A,0,0.0074989420933245,0.55,0.2,1977.5004375,179.38885565063578,14.601820292861088,5.654924242424243,1.6622105150872335,1.999,0.0,WEAKLY_RHYTHMIC,8.0,10
net_A,0,0.0074989420933245,0.6,0.4,2068.85425,203.96615078648463,14.02303143479614,4.683333333333334,1.401703674214492,1.879002811680186,0.0,WEAKLY_RHYTHMIC,6.0,10
net_A,0,0.0074989420933245,0.65,0.5,2155.757,200.4002433780298,18.107637721755367,3.411904761904762,1.6065968746933894,1.8546719564081677,0.0,WEAKLY_RHYTHMIC,5.0,10
net_A,0,0.0074989420933245,0.7,0.5,2237.4787,203.23148141230462,15.67749897161662,4.296666666666667,1.4564664941058285,1.5469694462866252,0.0,WEAKLY_RHYTHMIC,5.0,10
net_A,0,0.0074989420933245,0.75,0.5,2311.5929,209.49744619072825,11.482961950330372,5.766666666666667,1.7830699205954599,1.999,0.0,WEAKLY_RHYTHMIC,5.0,10
