constant,default,multiplier,value,ordering_valid,n,eo_mean,ec_mean,dz,t,p,n_up,ec_frac_rhythmic,eo_frac_rhythmic,dz_norej,p_norej,n_up_norej,rho_Q_RI,top1_frac_below2,frac_label_changed,rank_corr_vs_base,frac_rhythmic,exemplar_RI,comparison_RI,maxQ_RI,all_conclusions_hold
t_c,0.5,1.5,0.75,True,15,1.1782450229627757,1.9044612644241876,1.4162466288494815,5.485099607656439,8.034368364749361e-05,15,0.4870848708487085,0.031914893617021274,1.4918770003413175,2.2206792742972393e-06,20,-0.004841888292618622,1.0,0.0,1.0,0.044647344613838166,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_cw,0.3,0.5,0.15,True,15,1.2093902708769628,1.9339082033108304,1.4467381495188283,5.603192759409358,6.509481101338385e-05,15,0.4870848708487085,0.031914893617021274,1.5381866311204082,1.4611386649977406e-06,20,-0.04746511556353492,1.0,0.011475959122131011,0.8424882368460404,0.044647344613838166,2.378151680316238,1.3454574430007529,1.4121943241023478,True
t_cw,0.3,0.55,0.165,True,15,1.2080039045173845,1.9319385174660115,1.4444792348176327,5.594444020391125,6.611341299220011e-05,15,0.4870848708487085,0.031914893617021274,1.534582078024502,1.509216624878179e-06,20,-0.048552139762145716,1.0,0.010722063997319484,0.8811050587267073,0.044647344613838166,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_cw,0.3,0.6,0.18,True,15,1.2065501098233924,1.9302642478985528,1.4427981437031163,5.5879331825011445,6.688224611575901e-05,15,0.4870848708487085,0.031914893617021274,1.530518881194648,1.5653771438232212e-06,20,-0.049391444414919716,1.0,0.010135701122466074,0.9073228295682737,0.044647344613838166,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_cw,0.3,0.65,0.195,True,15,1.2048157091560048,1.9287990805353539,1.4428102715418076,5.587980153418421,6.6876666264212e-05,15,0.4870848708487085,0.031914893617021274,1.5280344031548234,1.6007767940967357e-06,20,-0.050599632982873954,1.0,0.00929803987267549,0.9222945644904944,0.044647344613838166,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_cw,0.3,0.7,0.21,True,15,1.2039164783474456,1.9282518558262767,1.4426758007488136,5.587459350276606,6.693856159863503e-05,15,0.4870848708487085,0.031914893617021274,1.5268888883983964,1.6173760775039076e-06,20,-0.05120543879765548,1.0,0.008879209247780198,0.9301955950198963,0.044647344613838166,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_cw,0.3,0.75,0.225,True,15,1.2033580375749886,1.9278009357006722,1.4413611103998787,5.58236757644976,6.754685644887407e-05,15,0.4870848708487085,0.031914893617021274,1.5254535505288243,1.638426442109873e-06,20,-0.05219315555099219,1.0,0.008627910872843023,0.9338473068579058,0.044647344613838166,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_cw,0.3,0.8,0.24,True,15,1.2033580375749886,1.9276682610453117,1.4407337415423838,5.579937787312753,6.783916427184949e-05,15,0.4870848708487085,0.031914893617021274,1.5252327807929602,1.6416892353829098e-06,20,-0.052684068248147815,1.0,0.008376612497905847,0.9352602968705955,0.044647344613838166,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_cw,0.3,0.85,0.255,True,15,1.201166026044084,1.9258104718468723,1.4387797739574513,5.57237010339728,6.87580557767081e-05,15,0.4870848708487085,0.031914893617021274,1.5229537297874582,1.6757666911994003e-06,20,-0.048384962503015085,1.0,0.007790249623052438,0.948885392919179,0.044647344613838166,2.378151680316238,1.3419616672802244,1.4121943241023478,True
t_cw,0.3,0.9,0.27,True,15,1.1944053268563668,1.9195971476466565,1.4313580599455507,5.543625928628875,7.236829104753302e-05,15,0.4870848708487085,0.031914893617021274,1.5137310660216938,1.82130539343626e-06,20,-0.034626493113855863,1.0,0.005779862623555034,0.9786781032359497,0.044647344613838166,2.378151680316238,1.3419616672802244,1.4121943241023478,True
