scale,m_t_c,m_t_cw,m_t_r,m_t_rw,m_t_min,dz,p,n_up,ec_frac_rhythmic,eo_frac_rhythmic,rho,top1,exemplar_RI,comparison_RI,frac_label_changed,hold,eeg_hold
0.1,0.5322505281909184,0.27641305758745954,0.3757405635547971,0.18902625665612946,0.10192994158420668,1.454514227137071,6.171183450234619e-05,15,0.5498154981549815,0.06382978723404255,-0.004012890136127247,1.0,2.467131115446099,1.3780673861487007,0.023119450494220137,True,True
0.1,0.5273571999961609,0.3170120113588248,0.419662330849929,0.18460961712500557,0.10937116352826315,1.4702992797151049,5.53968333212187e-05,15,0.4612546125461255,0.02127659574468085,0.04564561040567987,1.0,2.3135814954133345,1.392598976715126,0.03174736136706316,True,True
0.1,0.5274497099733305,0.27127762575531056,0.39455701215276695,0.19261117938510297,0.09173383638426717,1.3964519543571796,9.220028735990809e-05,15,0.5055350553505535,0.031914893617021274,-0.03506095345791487,1.0,2.3971635407484655,1.366272303271186,0.015412966996146759,True,True
0.1,0.5177594756686521,0.3291366494782095,0.41500966918476057,0.18267838333592,0.1040146495543002,1.3997910059452232,9.00790894874453e-05,15,0.46863468634686345,0.02127659574468085,0.05624116339894787,1.0,2.3283080204116313,1.3989531060284357,0.030742167867314457,True,True
0.1,0.4949168319959299,0.3061225807748084,0.36835319927603855,0.20273556529469944,0.09457599747780354,1.4355542415296774,7.030344266456734e-05,15,0.5645756457564576,0.06382978723404255,-0.016174713431083197,1.0,2.496554592738554,1.3329611331523736,0.02638632936840342,True,True
0.1,0.5424532639076012,0.3288624041517523,0.4259473740655917,0.19027681428395762,0.10179789413765675,1.4046702214759872,8.707046118706516e-05,15,0.4575645756457565,0.010638297872340425,0.04351937547576711,1.0,2.2941990153966922,1.3739528118667705,0.03183112749204222,True,True
0.1,0.5175884398035501,0.2825053218428352,0.3976419240171756,0.18501027103211615,0.09593608777763737,1.4144605249141249,8.134514015376061e-05,15,0.4944649446494465,0.031914893617021274,0.001987038039598219,1.0,2.3863243255574944,1.3912807485699623,0.010470765622382309,True,True
0.1,0.4890460225923449,0.29022588579936714,0.435922788492561,0.1800907506927141,0.0909449004768379,1.342094826038866,0.00013510072457102848,15,0.4354243542435424,0.010638297872340425,0.013819486654328085,1.0,2.2645832855693953,1.407466913379568,0.032417490366895625,True,True
0.1,0.46178391524289086,0.3187400149007265,0.4060453632315472,0.19903833914638847,0.09962387674480351,1.3839114967581245,0.00010064297002631215,15,0.47601476014760147,0.031914893617021274,0.015179608656763658,1.0,2.3576332155088275,1.3451257158039862,0.01424024124643994,True,True
0.1,0.5443407760472988,0.30060109386194467,0.3899904944548045,0.1846488113335259,0.09112197848431426,1.378795496323937,0.00010431490877496283,15,0.5092250922509225,0.031914893617021274,0.013558006361325899,1.0,2.4135233549657205,1.392470020256991,0.017172055620706984,True,True
0.1,0.48637048538607836,0.27984323356615215,0.3919948922542251,0.21229096009663162,0.09108338301903265,1.392327909167108,9.489219887805652e-05,15,0.5055350553505535,0.031914893617021274,-0.07646246407779562,1.0,2.4062955487924564,1.3015220528326603,0.018177249120455687,True,True
0.1,0.465223429018574,0.28098301636169165,0.431091322806008,0.1856335256541692,0.10955873884818788,1.4908772502437762,4.8161694948847975e-05,15,0.44649446494464945,0.010638297872340425,0.015587364366413503,1.0,2.2787561311563764,1.389230121408184,0.0326687887418328,True,True
0.1,0.4599750082349534,0.32676781846173475,0.42117441611544226,0.21329600069642252,0.09799979110838286,1.3731622093469,0.00010851989670062094,15,0.4575645756457565,0.02127659574468085,-0.009943436417731965,1.0,2.30886552229563,1.29821527662965,0.03392528061651868,True,True
0.1,0.4827206533786753,0.3109719545964086,0.37580686323408563,0.21621249921420596,0.10451887406934067,1.450332318505657,6.350773481019875e-05,15,0.5498154981549815,0.06382978723404255,-0.02118215630125553,1.0,2.4668722848287143,1.2886194375195403,0.03141229686714692,True,True
0.1,0.5068441668827632,0.28271645918575306,0.404583461795856,0.19565165756487213,0.1010758720972369,1.4201158335408886,7.821807377391431e-05,15,0.4797047970479705,0.031914893617021274,-0.011071518438951876,1.0,2.362538818763307,1.3562685473107554,0.00712012062321997,True,True
0.1,0.46133697537271834,0.2825793936349635,0.3671346536600466,0.19290391971011778,0.09573902570136919,1.450391187381965,6.348207883111107e-05,15,0.5682656826568265,0.06382978723404255,-0.01557349570520662,1.0,2.50152176219503,1.365309131494223,0.02730775674317306,True,True
0.1,0.5394822507051182,0.2891034435454773,0.3716868493814134,0.1910505536601999,0.1096746135385721,1.5347022380827349,3.5852792584071746e-05,15,0.5608856088560885,0.06382978723404255,0.013156374512561892,1.0,2.483132031827171,1.37140706102126,0.030407103367398224,True,True
0.1,0.4937950116512751,0.27838255707221665,0.4109009877271321,0.21783352566240768,0.09687308031534014,1.39266765237,9.466737334164499e-05,15,0.46863468634686345,0.02127659574468085,-0.0742244916202134,1.0,2.341590038942842,1.2832859498131939,0.018512313620371923,True,True
0.1,0.45372950621362557,0.3099685361282829,0.3771049363230726,0.2178712079661178,0.09581183295610593,1.4067380640021057,8.582715318522537e-05,15,0.5461254612546126,0.06382978723404255,-0.04465593527345874,1.0,2.4618230074140963,1.2831619678116617,0.030574635617356342,True,True
0.1,0.45099001236265857,0.27075568830326036,0.3784006602483825,0.21476074434237513,0.09866610968357654,1.4342412719915798,7.09428370848981e-05,15,0.5461254612546126,0.06382978723404255,-0.06877510255704136,1.0,2.4568174161341245,1.2933959892964273,0.02345451499413637,True,True
0.1,0.4920301378103274,0.2923041057035274,0.37331033281524895,0.19712496158253343,0.10871698658856266,1.521008708501206,3.929954187939157e-05,15,0.5535055350553506,0.06382978723404255,0.004836185204802916,1.0,2.476682062265107,1.3514210947138992,0.025799966493550007,True,True
0.1,0.45946496176455076,0.3047633078954294,0.40193381076736356,0.20306899062928987,0.09096932752068504,1.3641388885412058,0.00011562677906264822,15,0.4833948339483395,0.031914893617021274,-0.025233380982149497,1.0,2.371521025001704,1.3318640998960716,0.011475959122131011,True,True
0.1,0.45965948323310285,0.3024460051096009,0.4162902904975514,0.2183621208572662,0.09609076762402248,1.373943117436852,0.00010792660559217863,15,0.46863468634686345,0.02127659574468085,-0.0524574470823604,1.0,2.3242217863588097,1.281546770309652,0.022198023119450495,True,True
0.1,0.545210080622113,0.27079856238875094,0.3785814104944193,0.18317476837249996,0.09723963377851275,1.427197174827124,7.447830212755733e-05,15,0.5461254612546126,0.06382978723404255,-0.004609210807439568,1.0,2.4561218719285782,1.397319904119145,0.023370748869157312,True,True
0.1,0.450185830092949,0.3002091159401797,0.4288658132021292,0.2060210637323636,0.10468464829311293,1.4264241274167515,7.48773355171683e-05,15,0.45387453874538747,0.010638297872340425,-0.009038426791412129,1.0,2.285391969134831,1.322151213582004,0.023119450494220137,True,True
0.1,0.5338100652039045,0.2778167883819894,0.3831028995495836,0.18243439526459931,0.09164935924394559,1.3690436723508266,0.00011170558023955904,15,0.5202952029520295,0.06382978723404255,-0.004750052596927797,1.0,2.438936308690474,1.3997558735467126,0.02412464399396884,True,True
0.1,0.4791258147111663,0.2976440746613323,0.3812319962040728,0.19450958818928968,0.09298088143048967,1.3804283738490886,0.00010312801552769631,15,0.5313653136531366,0.06382978723404255,-0.008055110307175742,1.0,2.445997916269878,1.360026174449548,0.018177249120455687,True,True
0.1,0.488965532520135,0.30006877188131303,0.37506102479422565,0.18949754807383706,0.10549321970228334,1.4607049668382674,5.914997904921483e-05,15,0.5498154981549815,0.06382978723404255,0.020365241625596615,1.0,2.4697892761023095,1.3765167470550335,0.02345451499413637,True,True
0.1,0.4659616373756174,0.2913805639701065,0.41113552253785884,0.18735750030274922,0.10623610497625442,1.430976354764543,7.255923251495749e-05,15,0.46863468634686345,0.02127659574468085,0.01889951408872316,1.0,2.3408247205779533,1.38355791439117,0.017590886245602278,True,True
0.1,0.45619787444379645,0.27230798550140073,0.401356262592367,0.19379436244922899,0.10402972279618453,1.4494901066593957,6.387597116659644e-05,15,0.4870848708487085,0.031914893617021274,-0.012743422840559281,1.0,2.37349463184128,1.3623794042170871,0.011140894622214776,True,True
0.1,0.5127790884550704,0.29214319308974473,0.3869963338745879,0.20257478480878116,0.1013018040409549,1.4337044684233469,7.120599582096744e-05,15,0.5202952029520295,0.0425531914893617,-0.015870866727234558,1.0,2.4244596753858136,1.3334901317668115,0.0108895962472776,True,True
0.1,0.5493495396315593,0.3162348611734203,0.39636089761949633,0.19197098679860103,0.092241943608219,1.3797719953689784,0.00010360342007674123,15,0.5055350553505535,0.031914893617021274,0.01593557291048059,1.0,2.39080488372418,1.3683786595823926,0.018512313620371923,True,True
0.1,0.45433432125816,0.3281061256121851,0.42104635033947624,0.19882956830646348,0.09831813214088417,1.3762643891478088,0.00010618288080233036,15,0.4575645756457565,0.02127659574468085,0.023288280476194686,1.0,2.309263627821572,1.3458126118811102,0.026553861618361534,True,True
0.1,0.47714697824149244,0.3102312859989432,0.39337978788901573,0.21561206087119555,0.09313888374718866,1.3862651694014854,9.899909826343433e-05,15,0.5055350553505535,0.031914893617021274,-0.04497692050450341,1.0,2.4013446778359198,1.2905949947502184,0.02194672474451332,True,True
