network,location_idx,seed_node,alpha,beta,replicate,run_seed,a_idx,b_idx,extinct,RI,label,admissible,reason,Q,Q_peak_freq,Q_bandwidth,Q_bins_across,Q_n_segments,Q_resolution_limited,Q_undersegmented,Q_ceiling,peak_power_share,f0,harmonic_k,period,samples_per_cycle,n_cycles,freq_rel_uncertainty,freq_rel_tolerance,freq_precision_ok,c,cbar,r,Phi,Psi,g_s,g_w,mean_activity,cv_activity,ri_cat,q_ter,visual_rating
net_E,3,10447,0.0074989420933245,0.55,3,116503,7,10,False,1.4563209819773486,WEAKLY_RHYTHMIC,True,,1.4700521778993274,0.03125,0.0212577488539594,5.441983706613615,10.0,False,False,2.6666666666666665,0.1567132268109728,0.0335751029986913,1.0,29.78397415605771,29.78397415605771,50.36265449803708,0.0009089347581804,0.0049639956926762,True,0.3837717238007558,0.4598301418900521,0.2263515025515343,1.313800405400149,0.5658787563788359,0.5658787563788359,1.839320567560209,1994.6333333333337,0.028336918291132,weak,Q-low,3.0
net_E,1,4266,0.01,0.05,9,106609,8,0,False,1.498507803950321,WEAKLY_RHYTHMIC,True,,1.9809620786383884,0.03515625,0.0177470585525617,4.543246989455819,10.0,False,False,3.0,0.7414401108671388,0.0350547387592194,1.0,28.526813646186355,28.526813646186355,52.58210813882922,0.0008705692641048,0.004754468941031,True,0.322575161041359,0.4985122439975804,0.3222977540811217,1.424320697135944,0.8057443852028042,0.8057443852028042,1.9940489759903215,461.9173333333333,0.1291434755294434,weak,Q-low,6.0
net_A,3,14655,0.0177827941003892,0.15,6,17026,10,2,False,1.4465415351509578,WEAKLY_RHYTHMIC,True,,2.6179735619795155,0.1171875,0.0447626751094428,11.45924482801738,10.0,False,False,10.0,0.5197986818142384,0.1158415472180453,1.0,8.632481385264368,8.632481385264368,173.76232082706804,0.0002634424250874,0.001438746897544,True,0.2001532828191015,0.1868551191346272,0.3613640637957371,0.5338717689560778,0.9034101594893428,0.5338717689560778,1.8068203189786856,1752.9973333333332,0.0358937660242215,weak,Q-low,3.0
net_E,2,6406,0.0074989420933245,0.65,1,111521,7,12,False,1.2888605090462928,WEAKLY_RHYTHMIC,True,,3.2786441502018007,0.0859375,0.0262112922485688,6.71009081563362,10.0,False,False,7.333333333333333,0.2416814494242708,0.0853166459847042,1.0,11.72104210682734,11.72104210682734,127.97496897705636,0.0003576978182015,0.0019535070178045,True,0.1238400801384375,0.3222283413647968,0.2812387759984761,0.9206524038994196,0.7030969399961902,0.7030969399961902,1.4061938799923803,2181.784,0.026685716817436,weak,Q-mid,3.0
net_A,3,14655,0.01,0.45,0,16680,8,8,False,1.447354443896382,WEAKLY_RHYTHMIC,True,,2.9676210715081255,0.109375,0.0368561205640773,9.435166864403811,10.0,False,False,9.333333333333334,0.3032178919933327,0.1068706334080474,1.0,9.35710744954469,9.35710744954469,160.3059501120711,0.0002855562576154,0.0015595179082574,True,0.201803858066737,0.2140852184901326,0.3618956088421005,0.6116720528289503,0.9047390221052511,0.6116720528289503,1.8094780442105023,2663.946,0.022285773886171,weak,Q-mid,3.0
net_E,0,0,0.0177827941003892,0.2,8,102038,10,3,False,1.5147684196945228,WEAKLY_RHYTHMIC,True,,3.053156071254929,0.10546875,0.0345441725016859,8.8433081604316,10.0,False,False,9.0,0.4209839380152576,0.1063815884362126,1.0,9.400122847381706,9.400122847381706,159.57238265431897,0.0002868689833795,0.0015666871412302,True,0.1931070090903415,0.2185049633660703,0.4121743268937486,0.6242998953316297,1.0304358172343715,0.6242998953316297,2.060871634468743,2198.6446666666666,0.0283751909975294,weak,Q-mid,3.0
net_A,4,18688,0.0316227766016837,0.05,8,22408,12,0,False,1.4909621813399625,WEAKLY_RHYTHMIC,True,,3.247658373290399,0.078125,0.0240557937505128,6.158283200131297,10.0,False,False,6.666666666666667,0.5042884979690747,0.0798410842387962,1.0,12.524880010510705,12.524880010510705,119.76162635819432,0.000382229004227,0.0020874800017517,True,0.2251564528537429,0.3301141749549317,0.3928981161487543,0.9431833570140908,0.982245290371886,0.9431833570140908,1.964490580743772,781.1053333333333,0.0631765480936262,weak,Q-mid,5.0
net_E,1,4266,0.01,0.55,2,106702,8,10,False,1.382688657901619,WEAKLY_RHYTHMIC,True,,5.450120378921094,0.12109375,0.0222185459367728,5.6879477598138415,10.0,False,False,10.333333333333334,0.2028143924509499,0.1209713410913331,1.0,8.26642071567184,8.26642071567184,181.45701163699965,0.0002522711400046,0.0013777367859453,True,0.1494848103696396,0.2044205848116095,0.3239856233973522,0.5840588137474557,0.8099640584933805,0.5840588137474557,1.619928116986761,2983.23,0.0212241410031731,weak,Q-high,3.0
net_A,2,4919,0.0133352143216332,0.3,6,11856,9,5,False,1.335682473871041,WEAKLY_RHYTHMIC,True,,11.1331781090662,0.1171875,0.0105259701095206,2.6946483480372763,10.0,True,False,10.0,0.1743786527845162,0.1169418625887441,1.0,8.551257675078725,8.551257675078725,175.41279388311622,0.0002609636741662,0.0014252096125131,True,0.0292695323728133,0.1505304256877122,0.371156002551853,0.4300869305363206,0.9278900063796326,0.4300869305363206,1.5053042568771218,2564.7586666666666,0.0253219046897396,weak,Q-high,3.0
net_D,2,15114,0.0316227766016837,0.05,3,87403,12,0,False,1.4914084452673677,WEAKLY_RHYTHMIC,True,,7.50267975156776,0.08203125,0.0109335934247838,2.798999916744659,10.0,True,False,7.0,0.5059046700973489,0.0844835186059174,1.0,11.836628214606074,11.836628214606074,126.7252779088762,0.0003612252262758,0.001972771369101,True,0.123854088530116,0.3161876436793834,0.393242864807577,0.9033932676553814,0.9831071620189424,0.9033932676553814,1.966214324037885,781.8153333333333,0.0644896240192297,weak,Q-high,4.0
